order,family,genus,species,first,,second,,third,,fourth,,fifth,,sixth,,remaining,,method(s),opsins_known?,screening_pigments?,added_by,comment,ref1,ref1_url/doi,ref2,ref2_url/doi,,,,,,
Diptera,Syrphidae,Allograpta,obliqua,,,,,"455 V, 480 D",,,,,,,,,,,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Bernard & Stavenga 1979,https://doi.org/10.1007/BF00610467,,,,,,
Diptera,Syrphidae,Allograpta,obliqua ,,,,,480 D,,,,,,,,,,,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Bernard & Stavenga 1979,https://doi.org/10.1007/BF00610467,,,,,,
Diptera,Syrphidae,Eristalis,arbustorum,,,,,450,,,,,,,,,,,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Bernard & Stavenga 1979,https://doi.org/10.1007/BF00610467,,,,,,
Diptera,Syrphidae,Eristalis,tenax,350,,,,450,,,,520,,,,,,"intra, pupil, MSP",,R1-6:sensitizing pigment,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",from Briscoe and Chittka 2001,Horridge et al 1975,https://doi.org/10.1098/rspb.1975.0089,Stavenga 1976,https://doi.org/10.1007/BF00535446,,,,
Diptera,Syrphidae,Syrphus,balteatus,,,,,450,,,,,,,,,,MSP,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Stavenga 1976,https://doi.org/10.1007/BF00535446,,,,,,
Diptera,Syrphidae,Syrphus,balteatus,,,,,"450 V, 490 D",,,,,,,,,,MSP,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Stavenga 1976,https://doi.org/10.1007/BF00535446,,,,,,
Diptera,Syrphidae,Syrphus,sp,,,,,455 V,,,,,,,,,,pupil,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Stavenga 1976,https://doi.org/10.1007/BF00535446,,,,,,
Diptera,Syrphidae,Toxomerus,marginatus,,,,,450 V,,,,,,,,,,pupil,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Bernard & Stavenga 1979,https://doi.org/10.1007/BF00610467,,,,,,
Diptera,Tabanidae,Haematopota ,sp,,,,,530,,,,,,,,,,,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Kirschfeld 1986,book,,,,,,
Diptera,Tabanidae,Tabanus ,bromius ,360,,440,,530,,,,,,,,,,intracellular,,,AK,,Meglic et al 2019,https://doi.org/10.1073/pnas.1910807116,,,,,,,,
Diptera,Tabanidae,Tabanus ,nigrovittatus,,,,,520,,,,,,,,,,ERG,,,AK,additional 440 and 480 pigments assume,Allan et al 1989,https://doi.org/10.1139/z91-057,,,,,,,,
Diptera,Tachinidae,Exorista,japonica,340,,,,460,,,,,,,,,,ERG,,,AK,"second very broad peak around 460 nm,impossible to resolve single receptor types",Tokushima et al 2016,https://doi.org/10.1371/journal.pone.0160441,,,,,,,,
Diptera,Tephritidae,Dacus,oleae,,,,,490,,,,,,,,,,ERG,,,AK,,"Stavenga DG, Wehling MF, Belušič G. Functional interplay of visual, sensitizing and screening pigments in the eyes of Drosophila and other red‐eyed dipteran flies. The Journal of Physiology. 2017 Aug 15;595(16):5481-94.",https://doi.org/10.1113/JP273674,Remund et al. 1981,,,,,,,
Hemiptera,Aphidae,Acyrthosiphon ,pisum,,,,,518,Stavenga,,,,,,,,,"ERG,  intracellular",yes,,AK,green opsin: XP_001947730.1 plus two  opsins in UV branch found,Döring et al 2011,https://doi.org/10.1111/j.1365-3032.2011.00805.x,,,,,,,,
Hemiptera,Aphidae,Myzus,persicae,330-340,,490,,527,Stavenga,,,,,,,,,ERG,,no,AK,"template only fitted to ERG, shoulder at 500-510",Kirchner et al 2005,https://doi.org/10.1016/j.jinsphys.2005.07.002,,,,,,,,
Hemiptera,Cicadellidae,Nephotettix,cincticeps,354,Govardivskii,449,Govardivskii,527,Govardivskii,,,,,,,,,ERG,,,AK,,Wakakuwa et al 2014,https://doi.org/10.1007/s00359-014-0892-4,,,,,,,,
Hemiptera,Cimicidae,Cimex,lectularius,,,,,520,Stavenga,,,,,,,,,,,no,AK,"they also fit a mixture of 520 and 550 nm pigment, they don't look for the other receptor types",McNeill et al 2016,https://doi.org/10.1111/mve.12195,,,,,,,,
Hemiptera,Corixidae,Corixa,punctata,350?,,405,,525,,,,,,,,,,,,,AK,"green receptors var between 490 and 535 nm, UV receptor peak not exactly determined",Frolow 2015,https://doi.org/10.1016/j.visres.2015.03.026,,,,,,,,
Hemiptera,Notonectidae,Notonecta,glauca,345±5,,445±5,,560±5,,,,,,,,,,MSP,,no,AK,metarhodopsins measured,Schwind et al 1984,https://doi.org/10.1007/BF00605233,,,,,,,,
Hymenoptera,Andrenidae,Andrena,florea,348,,445,,529,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Andrenidae,Callonychium,petuniae,356,,445,,531,,593,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Andrenidae,Oxaea,flavescens,370,,435,,536,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Apidae,Anthophora,acervorum,348,,445,,524,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Apis,mellifera (female),346,,430,,540,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Apis,mellifera (male),346,,445,,529,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Bombus,affinis,,,,,525,,,,,,,,,,intracellular,,,CJvdK,,"Reviewed by: Briscoe AD, Chittka L. The evolution of color vision in insects. Annual Review of Entomology 2001;46(1):471-510.",https://www.annualreviews.org/doi/10.1146/annurev.ento.46.1.471,,,,,,,,
Hymenoptera,Apidae,Bombus,dahlbomii,355,,425,,526,,,,,,,,,,ERG,,,CJvdK,,Martinez-Harms et al 2010,http://jeb.biologists.org/content/jexbio/213/4/564.full.pdf,,,,,,,,
Hymenoptera,Apidae,Bombus,distinguendis,350,,440,,540,,,,,,,,,,ERG,,,CJvdK,,"Reviewed by: Briscoe AD, Chittka L. The evolution of color vision in insects. Annual Review of Entomology 2001;46(1):471-510.",https://www.annualreviews.org/doi/10.1146/annurev.ento.46.1.471,,,,,,,,
Hymenoptera,Apidae,Bombus,fervidus,350,,450,,,,,,,,,,,,intracellular,,,CJvdK,,"Reviewed by: Briscoe AD, Chittka L. The evolution of color vision in insects. Annual Review of Entomology 2001;46(1):471-510.",https://www.annualreviews.org/doi/10.1146/annurev.ento.46.1.471,,,,,,,,
Hymenoptera,Apidae,Bombus,hortorum,353,,436,,544,,,,,,,,,,intracellular,,,CJvdK,,"Reviewed by: Briscoe AD, Chittka L. The evolution of color vision in insects. Annual Review of Entomology 2001;46(1):471-510.",https://www.annualreviews.org/doi/10.1146/annurev.ento.46.1.471,,,,,,,,
Hymenoptera,Apidae,Bombus,hypnorum,,,,,524,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Apidae,Bombus,impatiens,346±6,Stavenga template,424±5,Stavenga template,541±9,Stavenga template,,,,,,,,,intracellular,,,CJvdK,,Skorupski and Chittka 2010,https://doi.org/10.1371/journal.pone.0012049,,,,,,,,
Hymenoptera,Apidae,Bombus,jonellus,341,,445,,542,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Bombus,lapidarius,341,,445,,540,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Bombus,monticola,346,,445,,535,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Bombus,morio,329,,445,,539,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Bombus,terrestris dalmatinus,348±8,Stavenga template,435±5,Stavenga template,533±4,Stavenga template,,,,,,,,,intracellular,,,CJvdK,,Skorupski et al 2007,https://doi.org/10.1007/s00359-006-0206-6,,,,,,,,
Hymenoptera,Apidae,Bombus,terrestris sassaricus,347±7,Stavenga template,436±4,Stavenga template,538±6,Stavenga template,,,,,,,,,intracellular,,,CJvdK,shift to red suggested to be linked to flower colour (?),Skorupski et al 2007,https://doi.org/10.1007/s00359-006-0206-6,,,,,,,,
Hymenoptera,Apidae,Bombus,terrestris terrestris,336,,428,,529,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Lestrimelitta,limao,,,,,539,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Apidae,Melecta,punctata,336,,428,,540,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Apidae,Melipona,marginata,340,,450,,540,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Apidae,Melipona,quadrifasciata,349,,426,,525,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Nomada,albogutata,,,428,,512,,,,,,,,,,intracellular,,,CJvdK,,"Reviewed by: Briscoe AD, Chittka L. The evolution of color vision in insects. Annual Review of Entomology 2001;46(1):471-510.",https://www.annualreviews.org/doi/10.1146/annurev.ento.46.1.471,,,,,,,,
Hymenoptera,Apidae,Partamona,helleri,347,,444,,521,,,,,,,,,,intracellular,,,CJvdK,,"Reviewed by: Briscoe AD, Chittka L. The evolution of color vision in insects. Annual Review of Entomology 2001;46(1):471-510.",https://www.annualreviews.org/doi/10.1146/annurev.ento.46.1.471,,,,,,,,
Hymenoptera,Apidae,Proxylocopa,sp.,338,,445,,524,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Schwarziana,sp.,348,,453,,523,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Trigona,spinipes,349,,445,,533,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Apidae,Xylocopa,brasilianorum,362,,445,,538,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Colletidae,Colletes,fulgidus,340,,532,,,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Crabronidae,Cerceris,rybynensis,,,436,,516,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Crabronidae,Philanthus,triangulum,352,,445,,529,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Formicidae,Campanotus,blandus,360,,470-560,,,,,,,,,,,,behaviour,,,CJvdK,,Yilmaz et al 2016,https://jeb.biologists.org/content/220/18/3315,,,,,,,,
Hymenoptera,Formicidae,Cataglyphis,aenescens,370,,,,540,,,,,,,,,,behaviour,,,CJvdK,,Camlitepe & Aksoy 2010,http://jeb.biologists.org/content/jexbio/213/1/72.full.pdf,,,,,,,,
Hymenoptera,Formicidae,Cataglyphis,bicolor,350,,,,510,,,,,,,,,,ERG,,,CJvdK,,"Reviewed by: Briscoe AD, Chittka L. The evolution of color vision in insects. Annual Review of Entomology 2001;46(1):471-510.",https://www.annualreviews.org/doi/10.1146/annurev.ento.46.1.471,,,,,,,,
Hymenoptera,Formicidae,Dolichovespula,norwegica,,,448,,524,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Formicidae,Formica,cunicularia,370,,,,540,,,,,,,,,,behaviour,,,CJvdK,Inferences uncertain,Aksoy and Camlitepe 2012,https://doi.org/10.1016/j.visres.2012.06.013,,,,,,,,
Hymenoptera,Formicidae,Formica,polyctena,360,,,,510,,,,,,,,,,ERG,,,CJvdK,,"Reviewed by: Briscoe AD, Chittka L. The evolution of color vision in insects. Annual Review of Entomology 2001;46(1):471-510.",https://www.annualreviews.org/doi/10.1146/annurev.ento.46.1.471,,,,,,,,
Hymenoptera,Formicidae,Myrmecia,croslandi,370,,470,,550,,,,,,,,,,ERG,,,CJvdK,,Ogawa et al 2015,https://doi.org/10.1098/rspb.2015.0673,,,,,,,,
Hymenoptera,Formicidae,Myrmecia,gulosa,412,,,,540,,,,,,,,,,intracellular,,,CJvdK,,"Reviewed by: Briscoe AD, Chittka L. The evolution of color vision in insects. Annual Review of Entomology 2001;46(1):471-510.",https://www.annualreviews.org/doi/10.1146/annurev.ento.46.1.471,,,,,,,,
Hymenoptera,Formicidae,Myrmecia,vindex,370,,450,,550,,,,,,,,,,ERG,,,CJvdK,,Ogawa et al 2015,https://doi.org/10.1098/rspb.2015.0673,,,,,,,,
Hymenoptera,Formicidae,Paravespula,germanica,347,,445,,534,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Formicidae,Paravespula,vulgaris,346,,445,,531,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Formicidae,Polistes,dominulus,358,,457,,527,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Formicidae,Solenopsis,saevissima,360,,505,,620,,,,,,,,,,behaviour,,,CJvdK,,Aksoyand Camlitepe 2018,https://brill.com/view/journals/ab/68/1/article-p55_5.xml,,,,,,,,
Hymenoptera,Halictidae,Lasioglossum,albipes,,,,,516,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Halictidae,Lasioglossum,malachurum,,,442,,528,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Ichneumonidae,Ichneumon,sp.,524,,,,,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Ichneumonidae,Ichneumon,stramentrius,524,,,,,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Megachilidae,Anthidium,manicatum,356,,445,,531,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Megachilidae,Chelostoma,florisomne,324,,,,548,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Megachilidae,Osmia,rufa,354,,445,,553,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Siricidae,Urocerus,gigas,524,,,,,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Hymenoptera,Tenthredinidae,Tenthredo,campestris,337,,458,,537,,602,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Tenthredinidae,Tenthredo,scrophulariae,332,,,,592,,,,,,,,,,unknown,,,CJvdK,,"Reviewed by: Briscoe AD, Chittka L. The evolution of color vision in insects. Annual Review of Entomology 2001;46(1):471-510.",https://www.annualreviews.org/doi/10.1146/annurev.ento.46.1.471,,,,,,,,
Hymenoptera,Vespidae,Vespa,crabro,346,,445,,529,,,,,,,,,,intracellular,,,CJvdK,Original values refitted with template by Briscoe and Chittka,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,Briscoe and Chittka,https://doi.org/10.1146/annurev.ento.46.1.471,,,,,,
Hymenoptera,Xiphydriidae,Xiphydria,camelus,556,,604,,,,,,,,,,,,intracellular,,,CJvdK,,Peitsch et al 1992,https://doi.org/10.1007/BF00190398,,,,,,,,
Lepidoptera,Arctiidae,Arctia,plantaginis,349,,457,,521,,,,,,,,,,ERG,,,AK,,Henze et al 2018,http://dx.doi.org/10.1111/1365-2435.13100,,,,,,,,
Lepidoptera,Bombycidae,Bombyx,mandarina,≤380,,?,,520,,,,,,,,,,ERG,,,AK,likely incomplete data,Eguchi et al 1985,https://doi.org/10.1303/aez.20.225,,,,,,,,
Lepidoptera,Bombycidae,Bombyx,mori,≤380,,?,,520,,,,,,,,,,ERG,,,AK,likely incomplete data,Eguchi et al 1985,https://doi.org/10.1303/aez.20.225,,,,,,,,
Lepidoptera,Castnidaee,Payasandisia,archon,360,,465,,550,,580,,,,,,,,intra,,,KA,,"Pirih et al. J Comp Physiol A, 204, 639-51, 2018 ",https://doi.org/10.1007/s00359-018-1267-z,,,,,,,,
Lepidoptera,Castniidae,Paysandisia, archon,360,,465,,550,,580,,,,,,,,intracellular,,,AK,,Pirih et al 2018,https://doi.org/10.1007/s00359-018-1267-z,,,,,,,,
Lepidoptera,Crambidae,Ostrinia ,nubilalis,356,,413,,480,,530,,,,,,,,intracellular,,,KA,,Belušič et al 2017,https://doi.org/10.1242/jeb.153718,,,,,,,,
Lepidoptera,Epicopeiidae,Epicopeia,hainesii,≤380,,420,,500,,,,,,,,,,ERG,,,AK,likely incomplete data,Eguchi et al 1982,https://doi.org/10.1016/0022-1910(82)90145-7,,,,,,,,
Lepidoptera,Erebidae,Arctia,plantaginis,349,,457,,521,,,,,,,,,,ERG,,,KA,formerly Arctiidae family,Henze et al 2018,http://dx.doi.org/10.1111/1365-2435.13100,,,,,,,,
Lepidoptera,Erebidae,Lymantria ,dispar,340-380,,360,,480-520,,,,,,,,,,ERG,,,KA,,Crook et al 2014,https://doi.org/10.1016/0022-1910(82)90145-7,Brown and Cameron 1977,,,,,,,
Lepidoptera,Geometridae,Arichanna gaschkevitchii,,≤380,,500,,540,,,,,,,,,,ERG,,,AK,likely incomplete data,Eguchi et al 1982,https://doi.org/10.1016/0022-1910(82)90145-7,,,,,,,,
Lepidoptera,Hepialidae,Phassus ,excrescens,≤400,,440-460,,520-540,,580?,,,,,,,,ERG,,,AK,likely incomplete data,Eguchi et al 1982,https://doi.org/10.1016/0022-1910(82)90145-7,,,,,,,,
Lepidoptera,Lycaenidae,Lycaena ,heteronea,360,,437,,500,,568,,,,,,,,MSP,,,KA,,Bernard & Remington 1991,https://doi.org/10.1073/pnas.88.7.2783,,,,,,,,
Lepidoptera,Lycaenidae,Lycaena ,rubidus,360,,437,,500,,568,,,,,,,,,,,KA,,Bernard & Remington 1991,https://doi.org/10.1073/pnas.88.7.2783,,,,,,,,
Lepidoptera,Lycaenidae,Pseudozizeeria,maha,363,,438,,554,,,,,,,,,,intra,,,KA,,K. Arikawa (unpublished),,,,,,,,,
Lepidoptera,Noctuidae,Anadevidia,peponis,420,,460,,500-520,,,,,,,,,,ERG,,,AK,likely incomplete data,Eguchi et al 1982,https://doi.org/10.1016/0022-1910(82)90145-7,,,,,,,,
Lepidoptera,Noctuidae,Helicoverpa,armigera,400,,483,,562,,,,,,,,,,ERG,,,KA,,Wei et al 2002. Acta Entomologica Sinica 45:323-328,https://europepmc.org/article/cba/381842,,,,,,,,
Lepidoptera,Noctuidae,Heliothis,virescens,365,,480-575?,,,,,,,,,,,,ERG,,,AK,likely incomplete data,Agee 1973,https://doi.org/10.1093/aesa/66.3.613,,,,,,,,
Lepidoptera,Noctuidae,Heliothis,zea,365,,480-575?,,,,,,,,,,,,ERG,,,AK,likely incomplete data,Agee 1973,https://doi.org/10.1093/aesa/66.3.613,,,,,,,,
Lepidoptera,Noctuidae,Mamestra ,brassicae,≤380,,460,,540,,580?,,,,,,,,ERG,,,AK,likely incomplete data,Eguchi et al 1982,https://doi.org/10.1016/0022-1910(82)90145-7,,,,,,,,
Lepidoptera,Noctuidae,Phalaenoides,glycinae,380,,475,,520,,,,,,,,,,intracellular,,,KA,,"Horridge GA, Marčelja L, Jahnke R. Retinula cell responses in a moth superposition eye. Proceedings of the Royal society of London. Series B. Biological sciences. 1983 Nov 22;220(1218):47-68.",https://doi.org/10.1098/rspb.1983.0088,,,,,,,,
Lepidoptera,Noctuidae,Spodoptera,exempta,355,,465,,515,,560,,,,,,,,"ERG, MSP",,,KA,,Langer et al 1979,https://doi.org/10.1007/BF00657659,,,,,,,,
Lepidoptera,Noctuidae,Trichoplusia,ni,360,,?,,540-550,,,,,,,,,,ERG,,,AK,likely incomplete data,"MacFarlane JH, Eaton JL. Comparison of electroretinogram and electromyogram responses to radiant energy stimulation in the moth, Trichoplusia ni. Journal of Insect Physiology. 1973 Apr 1;19(4):811-22.",,,,,,,,,
Lepidoptera,Nymphalidae,Aglais,urticae,360,,460,,530,,,,,,,,,,ERG,,,KA,,"Steiner et al. J Comp Physiol A, 160, 247-58, 1987",,,,,,,,,
Lepidoptera,Nymphalidae,Agraulis,vanillae,,,,,,,555,,,,,,,,MSP,,,KA,,"Frentiu et al Mol Biol Evol 24:2016-2028, 2007",,,,,,,,,
Lepidoptera,Nymphalidae,Anartia,jatrophae,,,,,,,565,,,,,,,,MSP,,,KA,,"Frentiu et al Mol Biol Evol 24:2016-2028, 2007",,,,,,,,,
Lepidoptera,Nymphalidae,Archaeoprepona,demophon,,,,,,,565,,,,,,,,MSP,,,KA,,"Frentiu et al Mol Biol Evol 24:2016-2028, 2007",,,,,,,,,
Lepidoptera,Nymphalidae,Asterocampa,celtis,,,,,,,530,,,,,,,,MSP,,,KA,,"Frentiu et al Mol Biol Evol 24:2016-2028, 2007",,,,,,,,,
Lepidoptera,Nymphalidae,Asterocampa,leilia,,,,,,,530,,,,,,,,MSP,,,KA,,"Frentiu et al Mol Biol Evol 24:2016-2028, 2007",,,,,,,,,
Lepidoptera,Nymphalidae,Danaus,plexipus,340,,435,,540,,,,,,,,,,intra,,,KA,,"Stalleicken, Labhart, Mouritsen (2006) J Comp Physiol A, 192, 321-31 ",,"Sauman, Briscoe, Zhu, Shi, Froy, Stalleicken et al. (2005) Neuron, 46, 457-67 ",,,,,,,
Lepidoptera,Nymphalidae,Euphydryas,chalcedona,,,,,,,565,,,,,,,,MSP,,,KA,,"Frentiu et al Mol Biol Evol 24:2016-2028, 2007",,,,,,,,,
Lepidoptera,Nymphalidae,Heliconius,charithonia,,,,,,,550,,,,,,,,MSP,,,KA,,"Frentiu et al Mol Biol Evol 24:2016-2028, 2007",,,,,,,,,
Lepidoptera,Nymphalidae,Heliconius,erato (female),,,390,,470,,560,,600,,,,,,intra,,,KA,,McCulloch et al 2016,https://jeb.biologists.org/content/219/15/2377,"Briscoe et al. Proc Natl Acad Sci, 107, 3628-33, 2010 ",,,,,,,
